JobTitle,Company,Location,Summary,Salary
Business Analyst (CLM),BNP Paribas,"Chennai, Tamil Nadu",Ability to anticipate business / strategic evolution. 5+ years of overall experience performing business analysis. About BNP Paribas India Solutions:,
Support Analyst,BluJay Solutions,"Hyderabad, Telangana","Conveys customer feedback to appropriate business areas such as Marketing, Product Management and Development. Performs other duties as needed.",
Programmer Analyst Trainee,Cognizant,"Kolkata, West Bengal","Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Job Posting : Feb 08 2021.",
Salesforce Business Analyst,Saransh Software Solutions Private Limited,"Bengaluru, Karnataka",Experience in playing a business analyst role in Salesforce Cloud and Marketing Cloud. Work closely with operations and product managers on business…,
Incentive Planning Analyst,Oracle,"Bengaluru, Karnataka",Partner with lines of business in the design of compensation models in the support of strategic business initiatives. Proficient in Excel and Word.,
Jr. Salesforce CPQ (Developer),systems plus,"Mumbai, Maharashtra",Research design and deliver Salesforce solutions for multiple line of business collaborating with analysts and business owners to deliver results in a timely…,
Salesforce Developer,audibene,"Gurgaon, Haryana",Perform deployments requested by the salesforce engineering and business analyst team. Experience with international salesforce instances (optional).,
Salesforce Executive,C G Parivar,"Navi Mumbai, Maharashtra",Worked closely with sales team and business analysts and performed detailed analysis of business and technical requirements and designed the solution by…,
"Execution Analyst, Helpdesk",bp,"Pune, Maharashtra","Performance – facilitating the effective allocation of capital, development of business plans and coordination of ‎business performance interventions to ensure…",
NetSuite Support Analyst x2,YouGov,"Mumbai, Maharashtra","Understanding of accounting procedures and business processes. Understanding of accounting procedures and business processes (P2P, R2R, O2C).",
Advanced Business Analyst - Senior Salesforce Developer,Novo Nordisk,"Bengaluru, Karnataka",Are you enthusiastic about understanding the business and bringing attention to key business challenges? The systems are used on a global scale by all areas of…,
Master Data Management Analyst,Hitachi Vantara Corporation,"Pune, Maharashtra","This role also requires knowledge of internal sales, marketing and business operations processes. Working alongside each customer, we apply our unmatched…",
Salesforce Configuration Analyst,Carrier,"Hyderabad, Telangana","He/She will manage the configuration of Salesforce products to meet business needs and align to business processes in the sales, service, marketing,CPQ, and…",
Technical Analyst - CRM,Cognizant,"Kolkata, West Bengal",Attend selftraining to ensure high standards of communication and business etiquette are maintained always. Cognizant (Nasdaq-100: CTSH) is one of the world's…,
Sales Operations Analyst,Screen Magic Mobile Media Pvt. Ltd.,"Pune, Maharashtra",Enhancements within our Salesforce.com ecosystem and other analytical tools to meet key business. Questions and look into the details and interpret the impact…,
Analyst - CRM - Data Management and Governance - Asset Management,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","Undertake business process engineering initiatives - Apply critical thinking to troubleshoot issues, proactively identify and develop new ideas / innovations…",
Senior Analyst Programmer- Salesforce,XCEEDANCE,"Gurgaon, Haryana","Design data models, user interfaces, business logic and security for custom applications. Xceedance is a global provider of consulting and managed services,…",
Data Analyst,Celigo,"Hyderabad, Telangana","3-5 years of professional analytical and problem solving experience working in sales operations, business analyst role, process improvement, and/or program…",
Program Analyst (Recruitment),Allegis Global Solutions,"Bengaluru, Karnataka","From refining how you manage your contingent workforce to strengthening your employer brand to recruit top talent, our integrated talent solutions drive the…",
Job Opening for Salesforce Functional Consultant / Business Analyst,Team Ace HR LLP,"Hyderabad, Telangana","Document the business requirements and maintain requirements traceability matrix. Engage with customers to understand business requirements, do a fit-gap…",
Sr. Sales Operations Analyst,Screen Magic Mobile Media Pvt. Ltd.,"Pune, Maharashtra",Ability to understand the strategic direction and goals of the Sales Department and support appropriate processes to facilitate achievement of business…,
Sr. Analyst - Biz Development,Cognizant,"Gurgaon, Haryana","Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Job Posting : Jan 12 2021.",
Netsuite Business Analyst,Sanmina Corporation,"Chennai, Tamil Nadu",Ability to translate business requirements into workable solutions. Experience creating business requirements documents and/or other application system related…,
Senior Analyst (Salesforce Developer),GLOBALFOUNDRIES,"Bengaluru, Karnataka",Able to interact with business stakeholders and help translate business requirements into technical and design solutions. Having good sense of Navigations.,
"Business Support Analyst, Sales Cloud",Zscaler,"Bengaluru, Karnataka","Work with diverse teams and act as an interface between the business teams and developers. For over 10 years, Zscaler has been disrupting and transforming the…",
